,Unnamed: 0,title,price,availability,price_category
0,0,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",54.86,In stock,Premium
1,1,Benjamin Franklin: An American Life,20.55,In stock,Standard
2,2,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,40.83,In stock,Standard
3,3,The Sound Of Love,29.99,In stock,Standard
4,4,Heir to the Sky,23.59,In stock,Standard
5,5,The Children,39.01,In stock,Standard
6,6,The Demonists (Demonist #1),46.01,In stock,Standard
7,7,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,57.43,In stock,Premium
8,8,Beyond Good and Evil,34.96,In stock,Standard
9,9,Hollow City (Miss Peregrineâs Peculiar Children #2),14.75,In stock,Budget
10,10,Crown of Midnight (Throne of Glass #2),36.94,In stock,Standard
11,11,Brave Enough,37.25,In stock,Standard
12,12,Frostbite (Vampire Academy #2),40.36,In stock,Standard
13,13,Life of Pi,57.48,In stock,Premium
14,14,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,21.21,In stock,Standard
15,15,The Sound Of Love,20.12,In stock,Standard
16,16,Looking for Lovely: Collecting the Moments that Matter,10.6,In stock,Budget
17,17,This Is Your Brain on Music: The Science of a Human Obsession,53.68,In stock,Premium
18,18,Grumbles,53.9,In stock,Premium
19,19,Lady Renegades (Rebel Belle #3),48.67,In stock,Standard
20,20,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,10.9,In stock,Budget
21,21,Shameless,39.39,In stock,Standard
22,22,The Dinner Party,10.56,In stock,Budget
23,23,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",44.21,In stock,Standard
24,24,Amatus,39.58,In stock,Standard
25,25,"Black Butler, Vol. 1 (Black Butler #1)",30.48,In stock,Standard
26,26,The Raven Boys (The Raven Cycle #1),53.49,In stock,Premium
27,27,Night Sky with Exit Wounds,53.95,In stock,Premium
28,28,Princess Between Worlds (Wide-Awake Princess #5),49.05,In stock,Standard
29,29,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",15.36,In stock,Budget
30,30,Underlying Notes,59.9,In stock,Premium
31,31,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,45.05,In stock,Standard
32,32,Sister Dear,22.13,In stock,Standard
33,33,The Rise and Fall of the Third Reich: A History of Nazi Germany,21.21,In stock,Standard
34,34,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,51.33,In stock,Premium
35,35,Fifty Shades Darker (Fifty Shades #2),29.17,In stock,Standard
36,36,"Lean In: Women, Work, and the Will to Lead",59.45,In stock,Premium
37,37,Shoe Dog: A Memoir by the Creator of NIKE,17.08,In stock,Budget
